Release,Filename,LOC,NR,Authors,Loc Touched,Loc added,LOC added,Avg LOC added,Churn,Max Churn,Avg Churn,Buggy
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231,5,2,255,243,224,48,231,224,46,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,586,4,2,704,645,585,161,586,585,146,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366,5,2,414,390,365,78,366,365,73,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,99,4,2,117,108,98,27,99,98,24,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41,1,1,41,41,41,41,41,41,41,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66,2,2,92,79,65,39,66,65,33,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,54,3,3,56,55,45,18,54,45,18,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,47,2,2,55,51,47,25,47,47,23,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,4,3,223,203,185,50,187,185,46,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49,1,1,49,49,49,49,49,49,49,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,1,1,50,50,50,50,50,50,50,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,98,2,2,102,100,97,50,98,97,49,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,138,1,1,138,138,138,138,138,138,138,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43,1,1,43,43,43,43,43,43,43,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,1,1,42,42,42,42,42,42,42,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,1,1,56,56,56,56,56,56,56,Yes
